Run started at Thu Apr 17 04:56:17 AM UTC 2025
Running ogbn-arxiv | lr=0.01 | k=1
Using device: cuda:0
dataset ogbn-arxiv | num nodes 169343 | num edge 1166243 | num node feats 128 | num classes 40
dataset ogbn-arxiv | train nodes 90941 | valid nodes 29799 | test nodes 48603
Results will be saved to ./logs/ogbn-arxiv/RK4_19.
Starting run 1/1...
run: 01, step: 66.60, train acc: 88.26, val acc: 61.92, test acc: 61.22
run: 01, step: 67.00, train acc: 88.25, val acc: 61.92, test acc: 61.22
run: 01, step: 67.20, train acc: 88.25, val acc: 61.92, test acc: 61.21
run: 01, step: 67.40, train acc: 88.25, val acc: 61.91, test acc: 61.21
run: 01, step: 68.00, train acc: 88.25, val acc: 61.91, test acc: 61.20
run: 01, step: 68.20, train acc: 88.25, val acc: 61.90, test acc: 61.20
run: 01, step: 69.00, train acc: 88.24, val acc: 61.88, test acc: 61.19
run: 01, step: 69.20, train acc: 88.24, val acc: 61.87, test acc: 61.19
run: 01, step: 69.40, train acc: 88.23, val acc: 61.87, test acc: 61.18
run: 01, step: 69.80, train acc: 88.23, val acc: 61.86, test acc: 61.18
run: 01, step: 70.00, train acc: 88.22, val acc: 61.86, test acc: 61.18
run: 01, step: 70.20, train acc: 88.22, val acc: 61.86, test acc: 61.17
run: 01, step: 70.40, train acc: 88.22, val acc: 61.86, test acc: 61.18
run: 01, step: 70.60, train acc: 88.22, val acc: 61.86, test acc: 61.17
run: 01, step: 71.00, train acc: 88.22, val acc: 61.85, test acc: 61.17
run: 01, step: 71.20, train acc: 88.21, val acc: 61.85, test acc: 61.16
run: 01, step: 71.60, train acc: 88.21, val acc: 61.84, test acc: 61.15
run: 01, step: 71.80, train acc: 88.21, val acc: 61.83, test acc: 61.14
run: 01, step: 72.00, train acc: 88.20, val acc: 61.83, test acc: 61.14
run: 01, step: 72.20, train acc: 88.20, val acc: 61.81, test acc: 61.12
run: 01, step: 73.00, train acc: 88.19, val acc: 61.81, test acc: 61.12
run: 01, step: 73.20, train acc: 88.19, val acc: 61.79, test acc: 61.12
run: 01, step: 73.60, train acc: 88.18, val acc: 61.79, test acc: 61.12
run: 01, step: 73.80, train acc: 88.18, val acc: 61.78, test acc: 61.12
run: 01, step: 74.00, train acc: 88.17, val acc: 61.78, test acc: 61.12
run: 01, step: 74.40, train acc: 88.17, val acc: 61.77, test acc: 61.12
run: 01, step: 75.00, train acc: 88.16, val acc: 61.76, test acc: 61.11
run: 01, step: 75.20, train acc: 88.16, val acc: 61.75, test acc: 61.11
run: 01, step: 75.40, train acc: 88.17, val acc: 61.76, test acc: 61.11
run: 01, step: 75.60, train acc: 88.16, val acc: 61.76, test acc: 61.11
run: 01, step: 76.00, train acc: 88.17, val acc: 61.75, test acc: 61.10
run: 01, step: 76.20, train acc: 88.17, val acc: 61.74, test acc: 61.11
run: 01, step: 76.40, train acc: 88.16, val acc: 61.73, test acc: 61.11
run: 01, step: 76.60, train acc: 88.16, val acc: 61.72, test acc: 61.11
run: 01, step: 76.80, train acc: 88.16, val acc: 61.71, test acc: 61.11
run: 01, step: 77.40, train acc: 88.15, val acc: 61.71, test acc: 61.10
run: 01, step: 77.60, train acc: 88.15, val acc: 61.70, test acc: 61.10
run: 01, step: 77.80, train acc: 88.15, val acc: 61.70, test acc: 61.09
run: 01, step: 78.00, train acc: 88.15, val acc: 61.66, test acc: 61.06
run: 01, step: 78.40, train acc: 88.15, val acc: 61.65, test acc: 61.06
run: 01, step: 78.60, train acc: 88.14, val acc: 61.65, test acc: 61.06
run: 01, step: 79.00, train acc: 88.14, val acc: 61.65, test acc: 61.05
run: 01, step: 79.20, train acc: 88.13, val acc: 61.65, test acc: 61.05
run: 01, step: 79.40, train acc: 88.13, val acc: 61.65, test acc: 61.04
run: 01, step: 79.60, train acc: 88.12, val acc: 61.65, test acc: 61.04
run: 01, step: 79.80, train acc: 88.12, val acc: 61.65, test acc: 61.03
run: 01, step: 80.00, train acc: 88.12, val acc: 61.64, test acc: 61.03
run: 01, step: 80.40, train acc: 88.12, val acc: 61.64, test acc: 61.02
run: 01, step: 80.60, train acc: 88.12, val acc: 61.63, test acc: 61.03
run: 01, step: 80.80, train acc: 88.12, val acc: 61.62, test acc: 61.03
run: 01, step: 81.00, train acc: 88.11, val acc: 61.62, test acc: 61.02
run: 01, step: 81.20, train acc: 88.11, val acc: 61.62, test acc: 61.01
run: 01, step: 81.40, train acc: 88.11, val acc: 61.61, test acc: 61.02
run: 01, step: 82.00, train acc: 88.11, val acc: 61.60, test acc: 61.02
run: 01, step: 82.20, train acc: 88.10, val acc: 61.60, test acc: 61.01
run: 01, step: 82.60, train acc: 88.10, val acc: 61.59, test acc: 61.01
run: 01, step: 82.80, train acc: 88.10, val acc: 61.60, test acc: 61.01
run: 01, step: 83.00, train acc: 88.10, val acc: 61.59, test acc: 61.01
run: 01, step: 83.20, train acc: 88.09, val acc: 61.60, test acc: 61.01
run: 01, step: 83.40, train acc: 88.09, val acc: 61.60, test acc: 61.00
run: 01, step: 83.80, train acc: 88.09, val acc: 61.59, test acc: 61.00
run: 01, step: 84.00, train acc: 88.09, val acc: 61.60, test acc: 60.99
run: 01, step: 84.20, train acc: 88.08, val acc: 61.60, test acc: 60.99
run: 01, step: 84.40, train acc: 88.08, val acc: 61.59, test acc: 60.99
run: 01, step: 84.60, train acc: 88.07, val acc: 61.58, test acc: 60.98
run: 01, step: 85.00, train acc: 88.06, val acc: 61.58, test acc: 60.99
run: 01, step: 85.20, train acc: 88.06, val acc: 61.58, test acc: 60.98
run: 01, step: 85.40, train acc: 88.06, val acc: 61.57, test acc: 60.99
run: 01, step: 85.60, train acc: 88.05, val acc: 61.57, test acc: 60.98
run: 01, step: 85.80, train acc: 88.06, val acc: 61.57, test acc: 60.98
run: 01, step: 86.00, train acc: 88.05, val acc: 61.56, test acc: 60.98
run: 01, step: 86.20, train acc: 88.05, val acc: 61.55, test acc: 60.98
run: 01, step: 86.40, train acc: 88.05, val acc: 61.54, test acc: 60.98
run: 01, step: 86.60, train acc: 88.04, val acc: 61.53, test acc: 60.98
run: 01, step: 87.00, train acc: 88.04, val acc: 61.53, test acc: 60.97
run: 01, step: 87.60, train acc: 88.04, val acc: 61.53, test acc: 60.96
run: 01, step: 87.80, train acc: 88.03, val acc: 61.53, test acc: 60.96
run: 01, step: 88.00, train acc: 88.03, val acc: 61.52, test acc: 60.94
run: 01, step: 88.20, train acc: 88.03, val acc: 61.51, test acc: 60.94
run: 01, step: 88.40, train acc: 88.02, val acc: 61.52, test acc: 60.93
run: 01, step: 89.00, train acc: 88.02, val acc: 61.51, test acc: 60.92
run: 01, step: 89.60, train acc: 88.02, val acc: 61.51, test acc: 60.91
run: 01, step: 90.20, train acc: 88.01, val acc: 61.51, test acc: 60.91
run: 01, step: 90.40, train acc: 88.01, val acc: 61.50, test acc: 60.91
run: 01, step: 90.60, train acc: 88.01, val acc: 61.50, test acc: 60.90
run: 01, step: 90.80, train acc: 88.01, val acc: 61.49, test acc: 60.89
run: 01, step: 91.20, train acc: 88.01, val acc: 61.49, test acc: 60.88
run: 01, step: 91.40, train acc: 88.01, val acc: 61.49, test acc: 60.87
run: 01, step: 91.80, train acc: 88.00, val acc: 61.48, test acc: 60.87
run: 01, step: 92.00, train acc: 88.00, val acc: 61.46, test acc: 60.87
run: 01, step: 92.20, train acc: 88.00, val acc: 61.46, test acc: 60.86
run: 01, step: 92.80, train acc: 88.00, val acc: 61.45, test acc: 60.87
run: 01, step: 93.00, train acc: 88.00, val acc: 61.45, test acc: 60.86
run: 01, step: 93.20, train acc: 87.99, val acc: 61.45, test acc: 60.86
run: 01, step: 93.80, train acc: 87.98, val acc: 61.44, test acc: 60.86
run: 01, step: 94.00, train acc: 87.98, val acc: 61.44, test acc: 60.85
run: 01, step: 94.20, train acc: 87.98, val acc: 61.43, test acc: 60.85
run: 01, step: 94.60, train acc: 87.97, val acc: 61.43, test acc: 60.84
run: 01, step: 94.80, train acc: 87.97, val acc: 61.42, test acc: 60.83
run: 01, step: 95.00, train acc: 87.97, val acc: 61.41, test acc: 60.84
run: 01, step: 95.20, train acc: 87.97, val acc: 61.40, test acc: 60.84
run: 01, step: 95.40, train acc: 87.97, val acc: 61.40, test acc: 60.83
run: 01, step: 95.60, train acc: 87.96, val acc: 61.40, test acc: 60.82
run: 01, step: 96.20, train acc: 87.95, val acc: 61.40, test acc: 60.82
run: 01, step: 96.40, train acc: 87.95, val acc: 61.39, test acc: 60.81
run: 01, step: 97.00, train acc: 87.94, val acc: 61.39, test acc: 60.81
run: 01, step: 97.20, train acc: 87.94, val acc: 61.39, test acc: 60.80
run: 01, step: 97.60, train acc: 87.93, val acc: 61.38, test acc: 60.80
run: 01, step: 97.80, train acc: 87.93, val acc: 61.37, test acc: 60.80
run: 01, step: 98.60, train acc: 87.92, val acc: 61.36, test acc: 60.79
run: 01, step: 98.80, train acc: 87.92, val acc: 61.36, test acc: 60.80
run: 01, step: 99.00, train acc: 87.92, val acc: 61.36, test acc: 60.79
run: 01, step: 99.20, train acc: 87.92, val acc: 61.34, test acc: 60.79
run: 01, step: 99.40, train acc: 87.92, val acc: 61.33, test acc: 60.78
run: 01, step: 99.80, train acc: 87.92, val acc: 61.32, test acc: 60.77
run: 01, step: 100.00, train acc: 87.92, val acc: 61.31, test acc: 60.77
Finished run 1. Best val acc: 62.63, corresponding test acc: 61.81 (step 0.20).

Finished 1 runs.
Val acc mean: 62.63
Val acc std: nan
Test acc mean: 61.81
Test acc std: nan
